CustomerID,Age,Gender,Family,VisitFrequency,AverageSpend,FavoriteSection,PaymentMethod,DiscountsUsed,OnlineOrder,Review
1,59,Male,SmallFamily,6,55,Dairy,MobilePayment,1,1,1.2
2,63,Female,Couple,6,53,Dairy,Cash,0,0,2.6
3,67,Male,SmallFamily,8,31,Produce,Cash,0,0,2.5
4,68,Female,LargeFamily,4,101,Produce,CreditCard,0,1,4.7
5,46,Female,SmallFamily,3,76,Dairy,MobilePayment,0,0,2.0
6,63,Female,SmallFamily,5,55,Produce,MobilePayment,1,1,4.1
7,42,Male,Single,2,75,Meat,DebitCard,0,1,3.2
8,21,Female,LargeFamily,4,52,Meat,MobilePayment,0,0,1.6
9,58,Male,SmallFamily,3,23,Dairy,Cash,0,1,4.9
10,28,Male,Single,3,68,Bakery,DebitCard,0,1,3.3
11,39,Female,LargeFamily,3,45,Produce,CreditCard,0,0,1.9
12,51,Female,LargeFamily,2,8,Meat,DebitCard,1,1,4.3
13,61,Male,Single,4,82,Meat,CreditCard,0,1,2.8
14,59,Female,Couple,3,81,Produce,Cash,0,1,3.2
15,32,Female,Single,8,14,Bakery,CreditCard,0,0,2.3
16,61,Female,SmallFamily,4,28,Produce,CreditCard,1,0,4.9
17,51,Female,LargeFamily,1,41,Grocery,MobilePayment,0,1,1.0
18,29,Male,LargeFamily,3,32,Grocery,CreditCard,0,1,3.1
19,48,Female,LargeFamily,8,89,Produce,CreditCard,0,1,2.2
20,27,Male,Couple,6,51,Produce,CreditCard,1,0,3.4
21,43,Male,SmallFamily,5,46,Dairy,CreditCard,0,0,1.5
22,56,Female,SmallFamily,3,61,Dairy,CreditCard,0,1,2.2
23,40,Male,Couple,5,36,Grocery,Cash,0,0,4.2
24,30,Female,SmallFamily,2,49,Dairy,DebitCard,0,0,3.4
25,49,Female,LargeFamily,4,69,Dairy,DebitCard,1,0,2.1
26,61,Female,SmallFamily,3,58,Bakery,CreditCard,0,0,3.2
27,26,Male,Couple,5,54,Produce,DebitCard,0,0,4.8
28,33,Female,LargeFamily,4,70,Produce,Cash,1,0,1.9
29,64,Male,Couple,8,52,Grocery,DebitCard,1,1,2.0
30,53,Female,Couple,1,17,Bakery,DebitCard,1,1,4.1
31,27,Male,Single,8,117,Dairy,Cash,0,0,1.9
32,61,Male,SmallFamily,7,61,Dairy,DebitCard,0,0,5.0
33,49,Male,Single,6,96,Meat,Cash,0,1,1.6
34,46,Female,Single,3,57,Produce,DebitCard,1,0,4.7
35,54,Female,LargeFamily,4,58,Dairy,MobilePayment,0,0,3.9
36,38,Female,SmallFamily,2,16,Produce,MobilePayment,0,0,4.9
37,36,Male,SmallFamily,4,51,Grocery,CreditCard,1,1,4.3
38,28,Male,LargeFamily,4,81,Bakery,MobilePayment,0,0,1.1
39,41,Male,SmallFamily,8,43,Produce,MobilePayment,0,0,2.6
40,59,Female,Single,4,18,Produce,DebitCard,0,1,1.6
41,18,Male,Single,5,36,Dairy,DebitCard,0,0,4.1
42,36,Female,Single,3,39,Meat,DebitCard,1,1,1.4
43,62,Female,SmallFamily,4,31,Bakery,MobilePayment,1,1,4.9
44,55,Male,LargeFamily,4,70,Produce,MobilePayment,0,1,1.9
45,32,Female,LargeFamily,2,53,Meat,Cash,0,0,1.8
46,69,Female,SmallFamily,3,18,Grocery,MobilePayment,0,0,2.2
47,52,Female,Single,2,41,Grocery,Cash,1,1,4.1
48,19,Male,SmallFamily,7,74,Grocery,Cash,0,0,3.5
49,27,Male,SmallFamily,1,37,Meat,CreditCard,0,0,3.4
50,31,Male,LargeFamily,6,88,Meat,Cash,1,1,4.2
51,50,Male,SmallFamily,4,53,Meat,CreditCard,0,1,2.0
52,39,Male,Couple,4,60,Bakery,Cash,1,1,2.4
53,46,Female,SmallFamily,3,49,Dairy,MobilePayment,1,0,4.5
54,26,Male,Couple,1,34,Grocery,Cash,1,0,1.7
55,70,Male,Couple,3,26,Produce,Cash,0,1,2.3
56,59,Male,Single,3,42,Produce,Cash,0,0,4.6
57,70,Female,Couple,2,47,Bakery,Cash,1,0,3.9
58,65,Female,SmallFamily,5,46,Grocery,CreditCard,0,1,4.4
59,35,Male,Couple,3,48,Bakery,MobilePayment,0,0,3.9
60,27,Female,Single,4,79,Produce,CreditCard,0,0,3.3
61,28,Male,Couple,3,56,Grocery,MobilePayment,1,1,2.4
62,40,Male,Couple,5,72,Bakery,MobilePayment,0,0,3.7
63,40,Female,LargeFamily,4,19,Meat,MobilePayment,0,0,2.2
64,65,Male,SmallFamily,2,69,Bakery,MobilePayment,0,0,2.4
65,25,Male,LargeFamily,5,50,Bakery,DebitCard,0,0,1.0
66,18,Female,Single,4,75,Bakery,DebitCard,0,0,2.8
67,49,Male,SmallFamily,2,46,Meat,Cash,0,0,3.0
68,32,Female,Single,1,72,Grocery,CreditCard,0,1,4.1
69,57,Female,Couple,4,37,Meat,MobilePayment,0,0,1.5
70,26,Female,LargeFamily,4,43,Grocery,DebitCard,1,1,3.9
71,23,Female,Couple,2,39,Bakery,Cash,0,0,2.8
72,50,Male,Couple,4,67,Produce,MobilePayment,0,1,2.8
73,60,Male,Single,2,56,Meat,MobilePayment,0,0,2.3
74,25,Female,SmallFamily,4,42,Produce,CreditCard,0,0,2.9
75,55,Male,Single,5,76,Dairy,MobilePayment,0,0,1.1
76,18,Male,Couple,2,63,Dairy,Cash,1,1,3.9
77,44,Male,LargeFamily,4,73,Grocery,MobilePayment,0,0,3.2
78,33,Male,SmallFamily,4,64,Meat,DebitCard,0,0,5.0
79,68,Male,Single,8,68,Dairy,CreditCard,0,1,2.7
80,70,Male,Couple,7,46,Produce,CreditCard,0,0,2.2
81,50,Female,LargeFamily,4,51,Produce,Cash,1,1,2.2
82,38,Male,SmallFamily,4,31,Bakery,Cash,0,0,1.2
83,50,Female,Couple,8,23,Meat,Cash,0,0,4.2
84,46,Male,LargeFamily,0,36,Dairy,Cash,0,0,4.2
85,58,Female,Single,5,-5,Meat,CreditCard,0,1,2.1
86,63,Female,Couple,3,54,Produce,CreditCard,0,0,2.4
87,18,Male,SmallFamily,2,40,Bakery,DebitCard,0,0,4.4
88,21,Female,LargeFamily,3,77,Meat,CreditCard,0,0,2.4
89,51,Male,SmallFamily,5,31,Grocery,CreditCard,0,1,1.4
90,40,Male,LargeFamily,4,55,Dairy,DebitCard,0,0,3.0
91,65,Male,Couple,3,51,Meat,MobilePayment,0,0,2.0
92,48,Female,LargeFamily,2,34,Produce,CreditCard,0,0,2.2
93,29,Female,SmallFamily,8,59,Dairy,Cash,0,1,5.0
94,66,Female,LargeFamily,7,6,Grocery,Cash,0,1,3.1
95,21,Female,Single,8,40,Produce,DebitCard,0,0,3.0
96,41,Female,LargeFamily,4,50,Dairy,DebitCard,0,1,4.2
97,68,Female,LargeFamily,4,49,Grocery,CreditCard,1,0,4.0
98,49,Male,Couple,3,55,Bakery,Cash,0,1,2.5
99,49,Female,LargeFamily,2,53,Produce,DebitCard,0,1,3.9
100,48,Male,Couple,6,56,Meat,CreditCard,0,0,3.5
101,58,Male,SmallFamily,6,9,Bakery,MobilePayment,0,1,2.1
102,46,Female,SmallFamily,1,44,Meat,Cash,0,1,3.1
103,22,Female,SmallFamily,2,20,Produce,MobilePayment,0,1,4.4
104,54,Male,Single,3,42,Dairy,DebitCard,0,0,1.1
105,52,Female,Couple,1,74,Dairy,DebitCard,1,0,1.2
106,31,Female,Couple,4,56,Dairy,Cash,0,1,2.8
107,25,Male,SmallFamily,8,65,Meat,CreditCard,1,1,1.6
108,60,Female,Single,4,47,Meat,CreditCard,0,0,3.3
109,18,Female,LargeFamily,4,66,Meat,Cash,0,0,2.3
110,61,Female,LargeFamily,4,25,Dairy,DebitCard,0,1,1.0
111,64,Female,SmallFamily,6,47,Meat,Cash,0,1,3.8
112,34,Male,SmallFamily,5,72,Produce,MobilePayment,0,0,2.7
113,51,Female,Couple,3,70,Grocery,MobilePayment,0,0,1.4
114,48,Female,Single,4,66,Dairy,Cash,1,0,1.7
115,52,Male,Single,6,66,Dairy,DebitCard,0,1,3.6
116,34,Male,Couple,1,37,Dairy,CreditCard,0,0,4.6
117,18,Male,Single,3,36,Meat,DebitCard,1,1,4.4
118,30,Female,SmallFamily,3,58,Produce,MobilePayment,0,0,3.8
119,21,Female,SmallFamily,8,83,Meat,DebitCard,0,1,3.8
120,59,Male,Single,1,48,Produce,DebitCard,0,1,3.9
121,45,Female,LargeFamily,6,60,Dairy,MobilePayment,1,0,4.5
122,47,Male,Couple,6,74,Dairy,Cash,1,1,4.3
123,62,Male,Couple,3,38,Bakery,MobilePayment,0,1,1.4
124,53,Female,Single,4,81,Grocery,DebitCard,1,0,1.6
125,33,Male,Single,8,56,Produce,DebitCard,0,0,1.2
126,52,Male,Single,5,70,Dairy,CreditCard,0,0,3.9
127,47,Male,LargeFamily,3,76,Meat,MobilePayment,1,0,1.9
128,53,Female,Single,5,35,Bakery,MobilePayment,0,1,1.5
129,59,Male,Couple,3,43,Dairy,Cash,0,1,1.6
130,68,Female,Couple,4,58,Grocery,CreditCard,0,1,1.4
131,70,Female,Single,6,40,Produce,DebitCard,0,0,2.1
132,51,Male,SmallFamily,8,53,Dairy,Cash,0,1,4.9
133,43,Male,Couple,5,20,Dairy,CreditCard,1,0,3.8
134,23,Female,LargeFamily,3,47,Grocery,MobilePayment,0,1,3.0
135,59,Female,Single,3,53,Meat,Cash,0,0,2.7
136,30,Male,Couple,4,59,Grocery,CreditCard,0,1,4.3
137,23,Male,Couple,4,41,Bakery,Cash,1,0,2.9
138,40,Female,LargeFamily,3,30,Dairy,DebitCard,0,0,4.4
139,29,Female,LargeFamily,4,30,Meat,DebitCard,0,0,1.4
140,63,Male,SmallFamily,2,69,Dairy,MobilePayment,0,0,3.3
141,28,Male,Single,9,41,Produce,Cash,0,0,4.2
142,47,Female,LargeFamily,5,31,Bakery,CreditCard,0,1,1.5
143,19,Female,LargeFamily,8,52,Meat,Cash,1,0,2.1
144,50,Male,Single,1,37,Grocery,Cash,0,0,3.3
145,65,Male,LargeFamily,2,57,Meat,Cash,0,0,2.4
146,66,Male,Single,9,16,Bakery,CreditCard,1,0,2.7
147,49,Female,LargeFamily,3,45,Dairy,Cash,1,1,4.0
148,59,Male,Couple,1,14,Meat,CreditCard,1,0,1.8
149,21,Female,LargeFamily,1,47,Produce,CreditCard,0,0,2.9
150,32,Female,LargeFamily,5,80,Bakery,CreditCard,1,0,3.3
151,21,Female,Single,6,69,Meat,MobilePayment,0,0,2.4
152,43,Female,Couple,2,39,Dairy,MobilePayment,1,1,3.3
153,52,Male,Couple,4,28,Grocery,Cash,0,0,4.0
154,35,Female,Couple,3,58,Bakery,Cash,0,0,2.4
155,59,Female,LargeFamily,6,30,Grocery,Cash,0,0,2.0
156,34,Male,LargeFamily,4,64,Meat,CreditCard,1,0,4.7
157,70,Male,Couple,3,67,Meat,CreditCard,0,1,4.0
158,60,Female,Couple,1,44,Produce,CreditCard,0,0,2.0
159,46,Female,Single,2,52,Grocery,CreditCard,0,1,3.3
160,52,Female,LargeFamily,2,93,Bakery,CreditCard,0,1,1.3
161,68,Female,SmallFamily,3,70,Dairy,CreditCard,0,0,1.5
162,66,Male,Couple,6,36,Produce,CreditCard,0,1,4.3
163,59,Female,Couple,7,49,Bakery,MobilePayment,0,0,2.3
164,49,Male,LargeFamily,3,41,Produce,MobilePayment,1,1,2.1
165,47,Male,Couple,4,71,Dairy,MobilePayment,0,0,3.5
166,41,Female,SmallFamily,4,44,Produce,DebitCard,1,0,4.1
167,26,Female,Single,8,55,Grocery,DebitCard,1,0,4.7
168,32,Female,SmallFamily,1,45,Meat,CreditCard,0,0,4.0
169,46,Female,Couple,1,81,Produce,DebitCard,1,0,1.1
170,59,Male,SmallFamily,5,54,Produce,MobilePayment,1,0,2.0
171,61,Male,Single,5,52,Grocery,Cash,0,1,4.3
172,49,Female,Couple,2,20,Produce,Cash,0,1,4.5
173,22,Female,LargeFamily,2,24,Dairy,DebitCard,0,0,5.0
174,40,Male,LargeFamily,1,42,Meat,CreditCard,1,0,1.7
175,44,Female,Couple,1,46,Bakery,MobilePayment,0,0,1.1
176,55,Male,LargeFamily,4,37,Dairy,CreditCard,1,1,3.9
177,59,Male,LargeFamily,7,40,Meat,MobilePayment,0,0,3.2
178,55,Male,Couple,3,90,Grocery,CreditCard,0,0,4.4
179,36,Female,Single,8,44,Dairy,Cash,0,1,3.6
180,28,Female,Single,5,44,Bakery,CreditCard,0,0,4.0
181,19,Female,LargeFamily,4,40,Dairy,MobilePayment,0,0,4.5
182,44,Male,Single,2,68,Produce,DebitCard,0,0,4.1
183,51,Female,LargeFamily,0,25,Grocery,Cash,0,1,3.7
184,45,Female,Couple,4,44,Dairy,Cash,0,0,4.8
185,36,Male,LargeFamily,5,31,Bakery,DebitCard,0,0,1.4
186,45,Male,Couple,6,55,Meat,MobilePayment,0,0,3.2
187,26,Female,LargeFamily,4,11,Dairy,Cash,1,0,1.2
188,34,Male,LargeFamily,1,35,Grocery,Cash,1,1,4.2
189,49,Female,SmallFamily,2,39,Dairy,CreditCard,1,1,3.9
190,22,Female,Couple,4,46,Meat,CreditCard,1,0,3.2
191,38,Male,LargeFamily,3,45,Produce,DebitCard,0,1,3.0
192,44,Male,Couple,4,78,Dairy,Cash,1,1,1.7
193,27,Female,SmallFamily,6,70,Produce,DebitCard,0,0,1.4
194,68,Male,Couple,5,63,Produce,DebitCard,1,0,3.5
195,23,Female,Single,7,9,Produce,MobilePayment,0,0,4.3
196,65,Female,Couple,6,67,Meat,DebitCard,0,0,1.3
197,65,Male,Single,5,67,Dairy,DebitCard,0,1,1.0
198,47,Male,Single,3,43,Dairy,DebitCard,1,0,5.0
199,62,Female,LargeFamily,4,82,Produce,CreditCard,0,0,3.5
200,25,Female,SmallFamily,3,63,Meat,MobilePayment,0,1,3.1
201,19,Male,Couple,4,42,Produce,CreditCard,1,0,3.5
202,64,Female,LargeFamily,4,46,Bakery,DebitCard,0,0,3.6
203,37,Male,LargeFamily,1,-5,Grocery,MobilePayment,0,1,1.7
204,64,Female,SmallFamily,4,47,Grocery,CreditCard,0,0,3.1
205,36,Female,LargeFamily,4,72,Produce,MobilePayment,0,1,1.9
206,45,Female,SmallFamily,6,66,Produce,DebitCard,1,0,3.3
207,56,Male,SmallFamily,3,62,Produce,Cash,1,1,3.3
208,28,Female,Couple,5,51,Bakery,MobilePayment,0,0,4.7
209,48,Female,LargeFamily,4,60,Dairy,MobilePayment,0,0,3.5
210,39,Male,Couple,3,47,Produce,Cash,0,0,1.3
211,49,Male,Single,4,32,Bakery,DebitCard,0,0,1.2
212,66,Female,LargeFamily,1,86,Produce,CreditCard,0,0,4.5
213,55,Male,Couple,3,72,Bakery,Cash,0,1,3.0
214,68,Male,SmallFamily,4,37,Meat,MobilePayment,0,1,2.9
215,66,Male,Couple,4,62,Grocery,Cash,0,0,1.7
216,46,Female,LargeFamily,1,81,Produce,DebitCard,1,0,3.6
217,64,Female,SmallFamily,6,83,Grocery,DebitCard,1,1,1.6
218,22,Female,SmallFamily,5,64,Produce,Cash,1,1,3.7
219,43,Female,LargeFamily,7,85,Bakery,CreditCard,1,1,3.9
220,31,Female,LargeFamily,5,35,Dairy,Cash,0,1,3.5
221,45,Female,SmallFamily,4,54,Grocery,DebitCard,0,1,2.7
222,25,Female,LargeFamily,3,56,Grocery,MobilePayment,0,1,3.9
223,61,Female,SmallFamily,6,64,Grocery,MobilePayment,0,0,1.4
224,43,Female,SmallFamily,1,43,Meat,Cash,0,0,2.0
225,22,Female,LargeFamily,6,52,Dairy,DebitCard,0,0,1.8
226,21,Male,Couple,4,33,Produce,MobilePayment,0,1,3.8
227,29,Female,LargeFamily,5,70,Bakery,CreditCard,0,0,1.1
228,67,Female,LargeFamily,3,43,Grocery,CreditCard,1,0,3.5
229,70,Female,LargeFamily,5,50,Dairy,DebitCard,0,1,3.8
230,55,Female,LargeFamily,5,58,Bakery,MobilePayment,1,1,4.5
231,31,Male,LargeFamily,1,49,Produce,MobilePayment,0,1,2.4
232,42,Female,Single,4,94,Grocery,MobilePayment,1,0,4.9
233,47,Female,SmallFamily,4,52,Dairy,MobilePayment,0,1,4.0
234,64,Female,Couple,3,15,Meat,Cash,1,0,4.6
235,23,Male,LargeFamily,4,68,Produce,DebitCard,0,1,2.3
236,38,Female,Couple,3,37,Produce,Cash,0,1,1.1
237,63,Female,LargeFamily,6,44,Produce,Cash,0,1,1.2
238,61,Female,Single,5,40,Grocery,DebitCard,1,1,4.3
239,23,Male,SmallFamily,1,68,Produce,MobilePayment,1,1,3.5
240,37,Female,Couple,3,22,Produce,MobilePayment,0,0,1.0
241,57,Female,LargeFamily,8,76,Produce,MobilePayment,0,1,3.2
242,53,Male,LargeFamily,7,16,Produce,Cash,1,1,1.6
243,20,Male,Couple,7,37,Grocery,Cash,0,1,3.5
244,33,Female,Single,8,67,Grocery,CreditCard,1,1,3.7
245,18,Male,SmallFamily,4,68,Meat,MobilePayment,0,0,1.2
246,67,Male,Couple,4,19,Meat,Cash,1,0,3.0
247,64,Female,Couple,3,70,Produce,Cash,0,1,2.4
248,65,Female,Couple,6,50,Meat,MobilePayment,0,0,1.9
249,35,Male,Single,3,36,Produce,DebitCard,1,1,4.7
250,26,Female,LargeFamily,3,58,Meat,CreditCard,1,0,3.6
251,54,Female,Couple,6,62,Bakery,DebitCard,1,0,4.6
252,48,Female,LargeFamily,5,37,Bakery,DebitCard,1,0,3.0
253,46,Female,LargeFamily,13,63,Bakery,DebitCard,0,1,3.1
254,19,Male,SmallFamily,5,39,Produce,MobilePayment,0,0,4.5
255,63,Female,Single,8,68,Dairy,Cash,1,1,4.5
256,21,Male,LargeFamily,9,6,Produce,DebitCard,0,1,1.7
257,51,Female,Couple,0,30,Meat,DebitCard,0,1,1.6
258,53,Male,Couple,6,40,Dairy,Cash,0,0,2.5
259,24,Female,Couple,6,43,Produce,MobilePayment,0,0,1.8
260,30,Male,LargeFamily,2,33,Produce,MobilePayment,0,0,1.0
261,54,Female,SmallFamily,3,15,Bakery,Cash,0,0,2.4
262,52,Male,Single,6,70,Meat,DebitCard,1,1,1.9
263,47,Female,SmallFamily,2,62,Bakery,DebitCard,0,1,3.6
264,29,Male,SmallFamily,5,76,Grocery,Cash,1,0,1.6
265,70,Male,Single,4,56,Produce,DebitCard,0,1,4.3
266,45,Male,SmallFamily,5,34,Produce,CreditCard,0,1,1.8
267,62,Male,LargeFamily,5,70,Produce,DebitCard,0,1,2.2
268,30,Female,SmallFamily,3,62,Dairy,MobilePayment,1,0,4.1
269,23,Female,SmallFamily,1,36,Produce,Cash,0,1,3.7
270,51,Female,Single,7,25,Grocery,CreditCard,0,1,1.5
271,68,Male,Single,1,48,Bakery,CreditCard,0,0,3.3
272,56,Male,Couple,2,66,Grocery,CreditCard,1,0,3.5
273,43,Female,LargeFamily,2,25,Produce,DebitCard,0,1,4.2
274,22,Male,Couple,4,28,Bakery,DebitCard,0,0,3.4
275,46,Male,Single,4,42,Grocery,CreditCard,0,0,3.7
276,43,Male,SmallFamily,3,68,Dairy,DebitCard,1,1,3.9
277,54,Male,Couple,6,60,Meat,Cash,0,0,2.1
278,38,Female,Single,7,78,Bakery,CreditCard,0,0,3.9
279,54,Male,LargeFamily,3,38,Dairy,Cash,1,0,3.6
280,20,Female,Single,2,19,Produce,Cash,1,1,3.6
281,32,Female,LargeFamily,5,60,Dairy,Cash,0,0,4.1
282,51,Male,Single,4,42,Produce,Cash,1,0,2.0
283,24,Male,SmallFamily,4,63,Dairy,CreditCard,1,1,4.0
284,18,Female,SmallFamily,6,15,Bakery,MobilePayment,0,1,4.0
285,62,Female,SmallFamily,5,16,Produce,CreditCard,1,0,2.2
286,49,Female,SmallFamily,4,42,Meat,Cash,0,0,3.3
287,53,Male,Single,5,39,Dairy,DebitCard,0,0,2.5
288,27,Male,SmallFamily,3,69,Bakery,CreditCard,0,0,3.6
289,64,Male,Couple,4,63,Dairy,MobilePayment,0,0,2.4
290,50,Female,Single,5,52,Grocery,Cash,1,1,4.0
291,55,Female,Couple,6,78,Produce,Cash,0,0,2.0
292,49,Male,LargeFamily,2,86,Produce,MobilePayment,0,0,2.8
293,47,Female,Couple,6,56,Dairy,DebitCard,1,0,1.3
294,23,Female,Single,4,58,Meat,DebitCard,1,0,2.2
295,18,Female,SmallFamily,4,23,Produce,MobilePayment,0,1,1.6
296,24,Male,LargeFamily,2,62,Bakery,Cash,0,1,1.2
297,40,Female,Couple,3,71,Dairy,DebitCard,0,1,3.0
298,48,Male,LargeFamily,2,58,Dairy,CreditCard,1,1,3.1
299,30,Female,SmallFamily,3,57,Grocery,CreditCard,0,0,2.9
300,68,Male,LargeFamily,6,51,Dairy,DebitCard,0,1,3.3
301,67,Female,Couple,2,38,Bakery,MobilePayment,0,0,4.0
302,48,Female,SmallFamily,4,48,Meat,DebitCard,0,1,2.1
303,54,Male,LargeFamily,3,51,Bakery,CreditCard,0,1,4.1
304,41,Female,SmallFamily,1,43,Dairy,DebitCard,1,0,1.4
305,49,Female,Couple,6,47,Meat,MobilePayment,0,1,1.5
306,60,Female,Couple,5,78,Meat,MobilePayment,1,0,4.0
307,46,Female,Couple,8,38,Dairy,Cash,1,0,2.7
308,42,Male,LargeFamily,4,34,Produce,Cash,0,0,3.3
309,54,Female,Single,7,45,Dairy,MobilePayment,0,1,4.2
310,24,Female,Couple,4,54,Grocery,Cash,0,0,4.3
311,31,Female,SmallFamily,3,14,Meat,Cash,0,0,3.8
312,37,Female,LargeFamily,3,50,Grocery,CreditCard,0,0,3.9
313,46,Male,LargeFamily,5,60,Produce,DebitCard,1,0,2.2
314,19,Male,Single,2,23,Grocery,DebitCard,0,0,5.0
315,26,Female,SmallFamily,6,51,Dairy,MobilePayment,0,0,3.0
316,28,Male,LargeFamily,5,57,Bakery,Cash,1,1,1.4
317,26,Female,LargeFamily,5,28,Dairy,CreditCard,0,1,3.6
318,40,Male,Single,4,93,Bakery,Cash,0,0,3.5
319,58,Male,Single,1,83,Grocery,Cash,0,1,1.5
320,28,Female,LargeFamily,3,49,Meat,Cash,0,0,3.7
321,53,Male,Single,7,26,Meat,CreditCard,0,0,2.3
322,48,Male,LargeFamily,3,31,Meat,DebitCard,0,1,4.3
323,46,Male,Single,4,19,Produce,CreditCard,0,1,3.3
324,32,Male,Couple,3,49,Bakery,DebitCard,0,1,4.3
325,23,Male,SmallFamily,1,45,Bakery,DebitCard,1,0,3.0
326,23,Female,Couple,4,34,Dairy,CreditCard,0,0,2.9
327,64,Female,LargeFamily,6,60,Meat,Cash,0,0,4.5
328,36,Female,Single,3,41,Dairy,MobilePayment,0,1,2.5
329,55,Female,Couple,3,70,Grocery,Cash,1,1,2.2
330,67,Male,LargeFamily,1,55,Produce,MobilePayment,0,1,2.5
331,56,Male,Couple,2,54,Meat,MobilePayment,0,1,3.7
332,33,Male,Couple,11,15,Dairy,MobilePayment,1,1,4.2
